Sale_Order_No,Order_Date,Plant,Product_Group,Product,Unit_Price,System_Price,Price_Variance_Pct
SO8054223,2024-08-22,P104,DW,DW,405.19,508.2,25.422641230040227
SO8044737,2024-08-22,P103,REF,1DOOR,2902.44,3803.69,31.051460150769692
SO8025555,2024-08-23,P104,REF,FDR,1259.57,1451.11,15.206776915931625
SO8014162,2024-08-24,P104,REF,BMF,2210.04,2567.29,16.164865794284268
SO8020456,2024-08-25,P103,LAUNDRY,DRYER,829.93,1110.22,33.7727278204186
SO8060090,2024-08-26,P104,LAUNDRY,WASHER,929.74,1143.53,22.994600641039426
SO8023124,2024-08-26,P103,REF,FDR,1068.03,1214.56,13.719652069698416
SO8085806,2024-08-26,P108,REF,SBS,1079.61,1314.19,21.728216670834854
SO8024775,2024-08-27,P107,REF,1DOOR,901.39,1202.74,33.43169993010795
SO8039583,2024-08-27,P103,REF,BMF,2950.56,3541.25,20.019589501653925
SO8009201,2024-08-27,P101,LAUNDRY,DRYER,801.25,961.59,20.011232449297975
SO8010409,2024-08-27,P101,LAUNDRY,WASHER,944.99,1190.1,25.937840612069955
SO8059089,2024-08-28,P107,COOKING,MWO,1044.22,1286.2,23.173277661795407
SO8033406,2024-08-28,P107,DW,DW,539.03,610.99,13.349906313192223
SO8039581,2024-08-28,P102,DW,DW,1049.11,1302.03,24.10805349296071
SO8078422,2024-08-28,P101,COOKING,OVEN,251.79,326.31,29.596091981413085
SO8034446,2024-08-29,P107,COOKING,OTHERS,1149.31,1321.81,15.009005403241945
SO8008665,2024-08-29,P102,COOKING,OVEN,789.39,935.86,18.554833479015446
SO8012575,2024-08-29,P106,COOKING,OVEN,1798.79,2412.88,34.13906014598703
SO8053351,2024-08-30,P102,LAUNDRY,WASHER,747.9,938.38,25.46864554084771
SO8020624,2024-08-30,P106,COOKING,OTHERS,1247.73,1651.32,32.34594022745305
SO8024405,2024-08-30,P106,COOKING,RANGE/COOKER,1525.23,2000.04,31.130386892468675
SO8007206,2024-08-30,P103,LAUNDRY,WASHER,454.47,521.54,14.757849803067295
SO8016981,2024-08-30,P102,DW,DW,426.41,572.04,34.15257615909569
SO8078290,2024-08-30,P101,REF,WINE CELLAR,2058.03,2396.82,16.46185915657206
SO8082726,2024-08-30,P101,COOKING,COOKTOP,373.87,498.58,33.35651429641319
SO8088240,2024-09-01,P103,COOKING,OVEN,1414.17,1836.99,29.898809902628393
SO8083175,2024-09-01,P101,LAUNDRY,WASHER,1249.3,1534.63,22.83918994636998
SO8058481,2024-09-01,P106,LAUNDRY,DRYER,1530.83,2023.59,32.18907390108634
SO8022938,2024-09-01,P104,LAUNDRY,WASHER,586.61,683.41,16.501593903956625
SO8065339,2024-09-01,P103,COOKING,OTHERS,1642.77,2005.52,22.08160606780012
SO8057069,2024-09-03,P108,COOKING,MWO,1752.58,1988.27,13.448173549852221
SO8022300,2024-09-04,P103,LAUNDRY,DRYER,679.75,827.12,21.680029422581832
SO8024134,2024-09-04,P106,LAUNDRY,DRYER,568.17,758.22,33.449495749511605
SO8011550,2024-09-04,P105,REF,1DOOR,1493.82,1721.77,15.259535954800448
SO8087373,2024-09-04,P101,REF,WINE CELLAR,1754.31,2015.2,14.871373930491197
SO8067634,2024-09-05,P106,COOKING,RANGE/COOKER,1684.62,2044.35,21.35377711293942
SO8061924,2024-09-05,P104,COOKING,OVEN,1513.64,2036.76,34.560397452498606
SO8018351,2024-09-06,P101,DW,DW,1191.01,1574.81,32.22475042191081
SO8029044,2024-09-06,P101,DW,DW,720.77,948.84,31.642548940716186
SO8007568,2024-09-06,P108,LAUNDRY,WASHER,1551.18,1860.73,19.955775603089258
SO8056238,2024-09-07,P101,LAUNDRY,WASHER,1196.27,1490.24,24.57388382221405
SO8013532,2024-09-08,P101,REF,SBS,2492.6,3162.7,26.883575383134072
SO8061205,2024-09-09,P107,REF,TMF,1896.84,2350.73,23.928744648995178
SO8075279,2024-09-09,P105,REF,SBS,2568.81,3156.04,22.86000132357006
SO8001864,2024-09-09,P102,COOKING,RANGE/COOKER,1674.88,2180.64,30.196790217806637
SO8059592,2024-09-09,P108,REF,1DOOR,838.75,1116.19,33.07779433681073
SO8016677,2024-09-11,P101,DW,DW,889.83,1129.93,26.982682085342148
SO8068615,2024-09-11,P102,REF,BMF,1571.89,2001.69,27.342880226987887
SO8038728,2024-09-13,P102,REF,TMF,2411.87,3042.98,26.166833204111338
SO8080924,2024-09-15,P101,REF,WINE CELLAR,2508.28,2998.4,19.54008324429489
SO8041802,2024-09-15,P105,LAUNDRY,DRYER,817.08,1093.59,33.84123953590834
SO8051959,2024-09-15,P104,REF,SBS,962.87,1122.9,16.62010447931705
SO8014557,2024-09-16,P104,REF,WINE CELLAR,3186.8,3856.35,21.010104179741422
SO8074031,2024-09-16,P101,COOKING,OVEN,1845.39,2107.98,14.229512460780644
SO8068644,2024-09-17,P102,REF,1DOOR,2380.68,3121.37,31.112539274493006
SO8083456,2024-09-17,P106,COOKING,COOKTOP,339.67,441.82,30.073306444490232
SO8042165,2024-09-17,P107,DW,DW,354.24,429.43,21.225722673893404
SO8080325,2024-09-17,P108,DW,DW,945.3,1146.45,21.278959060615687
SO8056647,2024-09-18,P102,REF,WINE CELLAR,1651.58,2064.35,24.992431489846087
SO8038359,2024-09-19,P102,LAUNDRY,WASHER,610.65,809.61,32.581675264062895
SO8063215,2024-09-19,P106,REF,BMF,2730.72,3308.3,21.151198218784806
SO8015308,2024-09-20,P102,LAUNDRY,WASHER,940.5,1124.6,19.574694311536405
SO8043014,2024-09-21,P102,REF,BMF,2840.24,3403.12,19.81804354561587
SO8087635,2024-09-22,P101,DW,DW,1055.11,1423.41,34.906313085839415
SO8070271,2024-09-22,P101,REF,TMF,1429.08,1791.63,25.36946846922497
SO8045787,2024-09-22,P103,REF,TMF,1770.99,2012.68,13.647169097510433
SO8030977,2024-09-23,P102,LAUNDRY,WASHER,1266.16,1660.61,31.15325077399379
SO8047491,2024-09-24,P103,LAUNDRY,DRYER,1196.19,1410.65,17.9285899397253
SO8025541,2024-09-24,P105,DW,DW,1163.04,1550.61,33.323875361122575
SO8041217,2024-09-25,P102,COOKING,COOKTOP,995.34,1308.67,31.479695380473004
SO8026754,2024-09-25,P104,REF,FDR,1377.82,1703.01,23.60177671974569
SO8072524,2024-09-26,P101,COOKING,RANGE/COOKER,1679.1,1927.16,14.77339050681914
SO8003894,2024-09-27,P106,REF,TMF,1918.21,2464.02,28.454131716548236
SO8021459,2024-09-28,P108,REF,TMF,1840.82,2336.66,26.93582207929075
SO8013269,2024-09-28,P105,REF,1DOOR,1636.13,2068.94,26.453276940096444
SO8020759,2024-09-28,P108,DW,DW,1171.1,1440.45,22.99974383058664
SO8087782,2024-09-30,P104,REF,FDR,1339.66,1639.1,22.351940044488884
SO8026122,2024-09-30,P107,REF,BMF,2019.1,2377.76,17.763359912832467
SO8060225,2024-10-01,P105,REF,FDR,821.89,1084.79,31.987248901921177
SO8014188,2024-10-01,P101,COOKING,OVEN,492.74,649.77,31.868734017940493
SO8014257,2024-10-03,P104,LAUNDRY,WASHER,681.07,773.62,13.58891156562467
SO8012665,2024-10-04,P102,REF,TMF,2836.09,3692.24,30.187687978872308
SO8017925,2024-10-04,P108,REF,BMF,1177.71,1445.89,22.771310424467828
SO8044238,2024-10-05,P104,LAUNDRY,DRYER,814.42,947.1,16.29134844429165
SO8029577,2024-10-06,P101,DW,DW,405.74,543.67,33.99467639374968
SO8028226,2024-10-06,P104,REF,FDR,932.94,1053.47,12.919373164404997
SO8023265,2024-10-10,P104,COOKING,COOKTOP,1298.45,1605.61,23.65589741615001
SO8068813,2024-10-12,P104,REF,BMF,1368.46,1552.12,13.420925712114338
SO8075046,2024-10-13,P101,DW,DW,405.95,523.7,29.006035226013072
SO8064596,2024-10-13,P101,LAUNDRY,WASHER,1333.92,1597.57,19.76505337651432
SO8087772,2024-10-14,P107,REF,1DOOR,1252.12,1655.2,32.19180270261638
SO8053857,2024-10-14,P108,LAUNDRY,WASHER,683.81,768.55,12.392331203111977
SO8054695,2024-10-14,P104,REF,1DOOR,1620.22,2090.2,29.007171865549108
SO8073801,2024-10-15,P106,DW,DW,1121.99,1476.8,31.62327649979055
SO8030138,2024-10-16,P106,LAUNDRY,DRYER,1401.66,1633.4,16.533253428078133
SO8083947,2024-10-17,P102,DW,DW,811.53,1031.3,27.080945867682033
SO8053915,2024-10-18,P104,LAUNDRY,DRYER,820.38,978.14,19.230112874521563
SO8073073,2024-10-19,P108,COOKING,OVEN,1240.32,1406.84,13.425567595459237
SO8032516,2024-10-20,P104,DW,DW,1063.32,1419.49,33.496031298198105
SO8001586,2024-10-21,P101,DW,DW,946.93,1094.0,15.531243069709488
SO8043786,2024-10-23,P102,DW,DW,1189.6,1336.56,12.353732347007401
SO8006387,2024-10-23,P106,DW,DW,1041.86,1359.05,30.44458948419174
SO8083359,2024-10-24,P104,LAUNDRY,DRYER,512.63,663.73,29.475450129723196
SO8063899,2024-10-25,P102,LAUNDRY,DRYER,558.66,729.34,30.551677227651897
SO8027853,2024-10-26,P102,DW,DW,1114.4,1388.51,24.597092605886566
SO8077704,2024-10-28,P102,REF,WINE CELLAR,2664.75,3477.33,30.493667323388685
SO8065881,2024-10-29,P102,REF,1DOOR,2787.02,3537.11,26.913692761444132
SO8052754,2024-10-30,P103,DW,DW,541.84,611.07,12.776834489886316
SO8086279,2024-10-31,P101,REF,SBS,1804.59,2256.37,25.03504951263168
SO8035980,2024-10-31,P103,REF,WINE CELLAR,2032.66,2551.91,25.545344523924303
SO8009922,2024-11-01,P104,REF,SBS,1155.17,1545.28,33.770786983733984
SO8045927,2024-11-01,P101,REF,FDR,1337.48,1557.06,16.417441756138405
SO8035826,2024-11-03,P102,REF,TMF,1580.15,1783.04,12.839920260734733
SO8041945,2024-11-03,P101,REF,BMF,2458.55,3037.13,23.533383498403527
SO8075379,2024-11-04,P108,COOKING,OVEN,759.03,927.81,22.236275246037703
SO8052931,2024-11-05,P106,REF,TMF,824.98,992.19,20.268370142306484
SO8007559,2024-11-09,P108,REF,FDR,803.21,1042.21,29.755605632399995
SO8078081,2024-11-10,P107,COOKING,COOKTOP,1853.44,2127.55,14.789256733425422
SO8074839,2024-11-12,P102,COOKING,COOKTOP,1463.39,1974.27,34.91072099713677
SO8028643,2024-11-12,P106,REF,WINE CELLAR,1716.48,2222.13,29.458543064876963
SO8033325,2024-11-13,P103,REF,BMF,1832.97,2217.41,20.97361113384288
SO8063348,2024-11-14,P108,LAUNDRY,DRYER,1528.06,1728.23,13.09961650720522
SO8026812,2024-11-18,P106,COOKING,OVEN,259.41,299.76,15.55452758182027
SO8039860,2024-11-18,P101,DW,DW,520.48,650.09,24.902013525976024
SO8003447,2024-11-20,P106,COOKING,MWO,1743.63,2077.96,19.174366121252785
SO8066176,2024-11-23,P105,REF,BMF,2237.91,3002.07,34.14614528734401
SO8044573,2024-11-23,P105,DW,DW,907.44,1081.73,19.206779511593048
SO8036924,2024-11-24,P103,LAUNDRY,DRYER,854.82,1012.76,18.476404389228136
SO8008057,2024-11-25,P107,REF,BMF,2661.9,3348.65,25.799241143544084
SO8024828,2024-11-25,P106,REF,FDR,1644.34,1919.18,16.71430482746878
SO8009954,2024-11-25,P107,COOKING,COOKTOP,1908.46,2572.7,34.80502604193956
SO8013608,2024-11-25,P101,REF,SBS,2994.07,3849.57,28.573146252425623
SO8075194,2024-11-25,P106,REF,TMF,2298.51,2907.35,26.488464265980987
SO8037082,2024-11-25,P103,REF,1DOOR,2684.78,3332.42,24.122646920790526
SO8049509,2024-11-26,P101,COOKING,RANGE/COOKER,1357.09,1560.52,14.990162774760707
SO8069088,2024-11-27,P106,REF,FDR,1160.77,1309.68,12.828553460203148
SO8037944,2024-11-27,P102,DW,DW,1184.32,1490.12,25.820724128613886
SO8026055,2024-11-27,P108,REF,WINE CELLAR,1496.36,1797.22,20.106124194712514
SO8080067,2024-11-29,P107,REF,SBS,1046.77,1232.23,17.71735911422758
SO8075369,2024-11-29,P102,DW,DW,654.61,784.84,19.894288202135623
SO8006133,2024-11-29,P107,COOKING,RANGE/COOKER,1794.76,2284.72,27.29947179567184
SO8011896,2024-11-29,P108,DW,DW,366.12,431.41,17.832950945045344
SO8033667,2024-11-29,P101,DW,DW,541.99,665.65,22.815919112898754
SO8011725,2024-11-30,P101,LAUNDRY,DRYER,784.56,948.41,20.884317324360154
SO8006665,2024-11-30,P104,REF,BMF,2963.52,3436.47,15.959062196307089
SO8044603,2024-12-02,P102,DW,DW,690.84,897.8,29.95773261536679
SO8058212,2024-12-03,P104,COOKING,OVEN,971.43,1171.33,20.577910914836888
SO8057570,2024-12-05,P103,REF,TMF,1059.86,1221.3,15.232200479308593
SO8057364,2024-12-05,P102,DW,DW,1060.1,1324.32,24.924063767569102
SO8019397,2024-12-06,P103,DW,DW,353.33,430.34,21.79548863668525
SO8014316,2024-12-06,P108,LAUNDRY,WASHER,1580.47,1912.47,21.006409485785873
SO8011992,2024-12-07,P104,LAUNDRY,WASHER,1277.96,1666.52,30.404707502582234
SO8069076,2024-12-07,P106,REF,SBS,3088.22,4034.46,30.640304123410907
SO8088463,2024-12-08,P102,REF,SBS,2536.23,2982.62,17.600533074681707
SO8002015,2024-12-08,P107,REF,WINE CELLAR,2627.96,3188.53,21.330994383476163
SO8049185,2024-12-08,P106,DW,DW,600.55,691.86,15.204395970360512
SO8010396,2024-12-09,P103,REF,FDR,1581.22,2080.71,31.588899710350237
SO8000637,2024-12-10,P103,REF,WINE CELLAR,2237.26,2519.63,12.621242055013715
SO8079711,2024-12-11,P104,REF,1DOOR,2606.5,3412.58,30.92576251678496
SO8030239,2024-12-12,P102,LAUNDRY,WASHER,1584.69,2103.36,32.73006076898321
SO8008311,2024-12-14,P102,LAUNDRY,WASHER,1303.9,1517.42,16.375488917861798
SO8081087,2024-12-14,P108,DW,DW,1170.43,1336.5,14.18880240595336
SO8007917,2024-12-14,P101,REF,WINE CELLAR,2428.88,2803.2,15.411218339316873
SO8057367,2024-12-15,P102,COOKING,OVEN,776.76,941.64,21.22663370925382
SO8052790,2024-12-15,P104,LAUNDRY,DRYER,904.23,1042.2,15.258286055538969
SO8045781,2024-12-18,P101,REF,TMF,1078.31,1425.7,32.216153054316486
SO8074909,2024-12-19,P106,COOKING,RANGE/COOKER,779.26,920.61,18.139003670148607
SO8029065,2024-12-20,P107,REF,TMF,1234.45,1617.7,31.04621491352424
SO8080530,2024-12-20,P102,DW,DW,1112.62,1475.54,32.61850407147095
SO8070870,2024-12-20,P105,REF,TMF,1136.11,1381.12,21.565693462780892
SO8007622,2024-12-20,P103,COOKING,RANGE/COOKER,886.13,1016.48,14.710031259521744
SO8014157,2024-12-20,P102,DW,DW,809.72,1005.83,24.21948327817023
SO8018548,2024-12-21,P101,DW,DW,1055.6,1410.62,33.632057597574835
SO8046552,2024-12-21,P102,COOKING,MWO,657.8,786.55,19.572818485861966
SO8008370,2024-12-21,P103,COOKING,RANGE/COOKER,329.38,384.89,16.852875098670225
SO8011171,2024-12-22,P105,COOKING,COOKTOP,1584.72,1993.56,25.79887929728911
SO8075849,2024-12-22,P102,COOKING,OTHERS,454.0,585.89,29.05066079295154
SO8031502,2024-12-23,P103,REF,TMF,2793.39,3274.08,17.20812346288918
SO8043184,2024-12-26,P104,LAUNDRY,DRYER,1342.82,1765.6,31.484487868813392
SO8039134,2024-12-26,P102,REF,BMF,1773.8,2108.95,18.894463862893215
SO8066014,2024-12-28,P107,REF,WINE CELLAR,878.88,1039.13,18.233433460768264
SO8010791,2024-12-29,P106,REF,BMF,1018.45,1365.26,34.052727183465066
SO8039818,2025-01-02,P103,COOKING,COOKTOP,1412.8,1588.02,12.40232163080408
SO8017121,2025-01-04,P107,COOKING,RANGE/COOKER,1518.1,2045.62,34.748699031684346
SO8006647,2025-01-04,P103,REF,WINE CELLAR,1149.57,1318.15,14.66461372513202
SO8026078,2025-01-04,P108,REF,FDR,1190.06,1517.0,27.472564408517226
SO8001458,2025-01-07,P108,DW,DW,1129.69,1490.74,31.96009524736874
SO8064331,2025-01-07,P103,DW,DW,686.0,925.62,34.93002915451895
SO8053048,2025-01-07,P101,REF,1DOOR,2533.96,2949.82,16.411466637200274
SO8068105,2025-01-08,P106,LAUNDRY,DRYER,1023.51,1183.45,15.626618205977474
SO8052483,2025-01-09,P103,COOKING,OTHERS,919.98,1162.57,26.36905150111958
SO8075448,2025-01-09,P102,DW,DW,564.69,746.14,32.132674564805455
